humidity,pm_2_5,temperature,hour,day,month
84.15676609,4.265486726,27.73783972,0,9,6
87.26148719,4.615384615,27.38827881,1,9,6
90.39818973,6.112068966,26.65762856,2,9,6
90.87372579,7.451327434,26.61446784,3,9,6
92.65424,9.735042735,26.1566493,4,9,6
92.72216159,6.525862069,26.28078134,5,9,6
92.93926202,7.862068966,26.16280911,6,9,6
94.37964354,8.888888889,25.85492036,7,9,6
92.89797784,10.9137931,26.53832257,8,9,6
87.63756886,5.034482759,28.40150257,9,9,6
78.65184564,3.709401709,30.51469728,10,9,6
74.4638413,3.482758621,31.51190473,11,9,6
69.36593447,2.612068966,32.35810133,12,9,6
68.61988817,3.606837607,32.77561723,13,9,6
66.17194405,3.301724138,33.40178651,14,9,6
63.01857983,2.379310345,34.02497438,15,9,6
63.63682991,1.658119658,33.86809202,16,9,6
64.04100509,2.0,33.22335109,17,9,6
67.38068304,2.75,32.7888613,18,9,6
71.86378263,8.27826087,31.64694531,19,9,6
75.26936584,20.74137931,30.59645946,20,9,6
74.8071007,12.7826087,29.53018991,21,9,6
76.19406085,7.222222222,29.6859647,22,9,6
79.42514384,6.620689655,28.87385514,23,9,6
81.85876434,14.05172414,27.96997407,0,10,6
82.59712584,10.64655172,27.55443882,1,10,6
80.27399835,7.474137931,28.03761955,2,10,6
82.74627596,6.672413793,27.8003,3,10,6
83.84326684,5.52991453,27.08201368,4,10,6
84.571736,5.913793103,27.27607174,5,10,6
86.79568345,5.948717949,26.86085293,6,10,6
88.70094635,5.137931034,26.52693327,7,10,6
89.13292465,2.956896552,26.74230577,8,10,6
87.65611452,3.102564103,27.97893661,9,10,6
81.2118425,1.646551724,29.73191539,10,10,6
77.93497158,0.422413793,30.70197079,11,10,6
75.61149125,0.482758621,31.306247,12,10,6
74.62167217,0.145299145,30.55035861,13,10,6
70.61186717,1.238938053,31.57121827,14,10,6
68.67869673,0.077586207,32.23415759,15,10,6
77.113475,0.358974359,29.94681928,16,10,6
91.47136526,0.094827586,25.23812409,17,10,6
93.3053556,0.181034483,25.11888765,18,10,6
92.81531684,1.017094017,25.43457965,19,10,6
92.92858461,1.371681416,25.39100036,20,10,6
93.33850149,1.461538462,25.19476545,21,10,6
92.86863652,1.405172414,25.24753918,22,10,6
93.05413667,1.120689655,24.96758206,23,10,6
93.23890086,2.24137931,25.10612611,0,11,6
93.57826816,2.179487179,25.11871193,1,11,6
92.72005766,1.905172414,25.46616764,2,11,6
94.65160351,2.947826087,25.04007789,3,11,6
93.80590474,2.948275862,25.46809527,4,11,6
94.59759693,16.17241379,25.2308292,5,11,6
94.32654781,6.252173913,25.38613416,6,11,6
94.5970169,5.172413793,25.51284509,7,11,6
95.07434938,4.660869565,25.74918468,8,11,6
93.01136802,3.267241379,26.86484278,9,11,6
88.98943513,1.938596491,28.34971684,10,11,6
83.13883395,0.724137931,30.0145908,11,11,6
73.45134147,0.427350427,31.79022783,12,11,6
69.49573062,0.043103448,32.12190876,13,11,6
70.26780947,0.05982906,32.06985171,14,11,6
66.20993061,0.00862069,32.08115784,18,11,6
68.54770043,5.181034483,30.7894094,19,11,6
73.55450752,4.658119658,29.67327,20,11,6
77.34835956,12.43103448,29.10467661,21,11,6
81.2971493,14.45689655,28.69838246,22,11,6
84.13642026,11.31896552,27.99288122,23,11,6
84.57539098,4.666666667,28.00598955,0,12,6
86.36484544,3.94017094,27.5388109,1,12,6
89.08939,4.577586207,26.81543609,2,12,6
90.83742535,5.743589744,26.42536602,3,12,6
92.17892175,4.043103448,26.08538283,4,12,6
90.87709095,2.75862069,26.35718368,5,12,6
91.91992035,3.254385965,26.11183295,6,12,6
92.0371464,4.767241379,26.33372363,7,12,6
90.96099693,8.401709402,26.96990973,8,12,6
90.10537956,10.0862069,27.82590107,9,12,6
84.8990515,1.076923077,29.34630027,10,12,6
77.78703009,1.163793103,30.86928795,11,12,6
73.61200646,0.310344828,31.87736892,12,12,6
70.03267333,0.801724138,32.52882209,13,12,6
67.36552982,1.698275862,33.31511804,14,12,6
62.49833983,1.405172414,34.38453417,15,12,6
62.82577035,1.570175439,33.98795184,16,12,6
61.32839765,7.551724138,34.11049043,17,12,6
69.35635487,5.344827586,33.41333248,18,12,6
76.98579181,5.689655172,31.89490397,19,12,6
81.46325661,9.556521739,30.85598434,20,12,6
84.77025718,21.64035088,29.96315009,21,12,6
86.70212876,23.59482759,29.42971523,22,12,6
88.32684912,15.30172414,28.66149911,23,12,6
88.05739377,14.03418803,28.50105904,0,13,6
89.85291009,17.21238938,28.04939861,1,13,6
90.60317929,17.78448276,27.83468901,2,13,6
92.66512246,27.94017094,27.25307195,3,13,6
94.41723395,19.15517241,26.94018589,4,13,6
92.76414301,15.67241379,27.38758676,5,13,6
93.50777843,12.83760684,26.98531965,6,13,6
94.07527681,16.37931034,26.91294681,7,13,6
92.2730313,13.31034483,27.46683072,8,13,6
86.34506701,12.29059829,29.23093852,9,13,6
78.56111518,7.560344828,30.64377514,10,13,6
74.088,7.25,32.11069874,11,13,6
76.8866907,9.801724138,31.20992107,12,13,6
88.87996779,4.724137931,27.18108252,13,13,6
88.49571579,1.102564103,26.97713133,14,13,6
86.86290233,2.00862069,27.68225263,15,13,6
83.96262243,1.646551724,28.99440563,16,13,6
82.54885868,3.913793103,29.75750982,17,13,6
82.45349026,7.517241379,29.9607377,18,13,6
85.7465753,9.735042735,28.93762139,19,13,6
88.7638667,14.87931034,28.39573584,20,13,6
90.06929617,15.34513274,28.23550158,21,13,6
92.45530487,16.67521368,27.55866227,22,13,6
92.76820764,11.53448276,27.35126202,23,13,6
93.15342927,12.68965517,27.14772817,0,14,6
93.07840175,16.81896552,27.03110009,1,14,6
93.27310946,16.29310345,26.80082813,2,14,6
94.20412781,13.23275862,26.36910964,3,14,6
93.64378296,11.28448276,26.39783405,4,14,6
93.37607348,12.05217391,26.27935243,5,14,6
93.90080867,13.90517241,26.04419257,6,14,6
93.77816333,12.0,26.16979313,7,14,6
92.09206397,10.88034188,27.29388333,8,14,6
86.34791549,5.422413793,28.93897782,9,14,6
80.97965605,2.896551724,30.25928272,10,14,6
75.42677681,1.75862069,31.47152865,11,14,6
71.05301009,2.008547009,32.30948279,12,14,6
67.2984307,2.534482759,33.05590982,13,14,6
64.16294451,3.393162393,33.98149894,14,14,6
63.58982452,3.5,34.12901965,15,14,6
64.12544991,3.215517241,34.00364,16,14,6
66.70354052,3.034188034,33.57397921,17,14,6
62.87974586,0.948275862,32.8024687,18,14,6
65.29986026,3.724137931,31.85547116,19,14,6
68.42646407,8.752136752,30.59377964,20,14,6
72.63514052,20.24137931,29.68166748,21,14,6
79.47651802,15.25862069,28.44840824,22,14,6
80.6952719,12.45299145,27.80359353,23,14,6
82.55683062,10.46551724,27.39571856,0,15,6
84.2794,9.956896552,27.08814764,1,15,6
86.57701779,8.042735043,26.73242796,2,15,6
88.00147123,6.318965517,26.16726937,3,15,6
89.3387067,8.284482759,25.90418912,4,15,6
89.88450302,8.675213675,25.83799843,5,15,6
91.98146374,10.28448276,25.11278465,6,15,6
92.30356404,10.31034483,25.27487505,7,15,6
89.5018731,6.172413793,26.29366947,8,15,6
83.44979737,0.897435897,28.73925414,9,15,6
77.38397509,0.525862069,30.24916184,10,15,6
72.38701052,0.732758621,31.11245168,11,15,6
68.77784261,1.431034483,32.32556115,12,15,6
66.67556126,2.00877193,32.89902755,13,15,6
64.09319328,2.465517241,33.85234707,14,15,6
63.40135761,1.50862069,33.86601053,15,15,6
